Price,Close,High,Low,Open,Volume
Ticker,NFLX,NFLX,NFLX,NFLX,NFLX
Date,,,,,
2024-08-05,598.5499877929688,604.5599975585938,587.0399780273438,587.0399780273438,4044200
2024-08-06,609.5700073242188,622.4500122070312,600.6199951171875,600.6199951171875,4319100
2024-08-07,611.47998046875,632.0,610.6400146484375,616.0700073242188,3187800
2024-08-08,630.3499755859375,632.2899780273438,616.02001953125,621.989990234375,3283500
2024-08-09,633.9400024414062,636.6199951171875,622.989990234375,622.989990234375,1980800
2024-08-12,633.1400146484375,639.0,627.0700073242188,631.0,2331700
2024-08-13,648.02001953125,650.969970703125,635.5,638.5599975585938,2639600
2024-08-14,661.6799926757812,663.5700073242188,648.7000122070312,648.7000122070312,4014300
2024-08-15,663.219970703125,673.1900024414062,659.7999877929688,668.489990234375,3210200
2024-08-16,674.0700073242188,680.22998046875,665.3599853515625,669.4299926757812,3511000
2024-08-19,688.530029296875,688.8400268554688,672.9099731445312,674.0700073242188,3016200
2024-08-20,698.5399780273438,711.3300170898438,688.25,688.8599853515625,4813100
2024-08-21,697.1199951171875,701.0,691.3800048828125,697.0,2235300
2024-08-22,688.9600219726562,701.5,686.239990234375,691.0,2729400
2024-08-23,686.72998046875,696.0700073242188,678.6300048828125,694.1300048828125,2354500
2024-08-26,688.4400024414062,690.5900268554688,681.6400146484375,687.260009765625,1354200
2024-08-27,695.719970703125,707.8900146484375,686.9199829101562,688.530029296875,3164900
2024-08-28,683.8400268554688,696.6699829101562,677.0999755859375,695.8300170898438,2430600
2024-08-29,692.47998046875,699.7999877929688,686.0700073242188,690.0,2187000
2024-08-30,701.3499755859375,701.8599853515625,688.1599731445312,700.3599853515625,3266700
2024-09-03,675.3200073242188,703.8599853515625,671.010009765625,700.0999755859375,3161000
2024-09-04,679.6799926757812,684.6500244140625,673.0599975585938,673.3099975585938,1785300
2024-09-05,683.6199951171875,687.3099975585938,671.8599853515625,673.1400146484375,1810100
2024-09-06,665.77001953125,683.1500244140625,662.3400268554688,681.8599853515625,2991300
2024-09-09,675.4199829101562,683.5,672.1400146484375,674.0,2683100
2024-09-10,673.6199951171875,680.5900268554688,665.8099975585938,676.8699951171875,2079200
2024-09-11,681.469970703125,682.969970703125,660.7999877929688,677.4600219726562,2391900
2024-09-12,686.7999877929688,694.8800048828125,682.2000122070312,684.9199829101562,2582100
2024-09-13,697.0599975585938,699.6400146484375,680.0,680.010009765625,2276500
2024-09-16,696.5,703.02001953125,688.6300048828125,700.0,1843700
2024-09-17,706.9099731445312,707.6300048828125,698.3699951171875,700.8200073242188,2298600
2024-09-18,690.469970703125,707.5499877929688,688.0,707.5499877929688,2984400
2024-09-19,704.3200073242188,715.6599731445312,695.3699951171875,705.0,4228500
2024-09-20,701.030029296875,706.6699829101562,696.3099975585938,705.5499877929688,3998100
2024-09-23,705.3699951171875,712.25,699.1599731445312,702.3900146484375,3224300
2024-09-24,722.260009765625,722.4400024414062,704.4500122070312,706.6300048828125,3565700
2024-09-25,721.5599975585938,725.1199951171875,716.2100219726562,721.0,2259800
2024-09-26,711.4299926757812,725.260009765625,701.719970703125,724.72998046875,2833000
